'sample #',MLII,V5
629527,940,988
629528,937,986
629529,940,990
629530,941,990
629531,942,992
629532,941,988
629533,941,988
629534,941,988
629535,941,988
629536,944,989
629537,945,987
629538,943,987
629539,939,986
629540,938,987
629541,938,986
629542,940,987
629543,943,987
629544,940,988
629545,939,984
629546,937,984
629547,938,989
629548,937,987
629549,941,987
629550,939,984
629551,940,982
629552,941,982
629553,939,982
629554,939,986
629555,941,985
629556,940,985
629557,938,982
629558,935,983
629559,938,983
629560,941,983
629561,941,982
629562,942,980
629563,942,977
629564,936,976
629565,937,976
629566,942,980
629567,942,979
629568,941,975
629569,939,972
629570,938,969
629571,935,974
629572,938,976
629573,940,972
629574,937,968
629575,937,968
629576,938,965
629577,936,966
629578,935,968
629579,937,966
629580,936,963
629581,934,960
629582,928,958
629583,929,958
629584,929,963
629585,931,961
629586,933,961
629587,930,959
629588,930,961
629589,934,966
629590,934,967
629591,936,966
629592,939,966
629593,938,965
629594,934,966
629595,937,971
629596,940,979
629597,943,982
629598,946,983
629599,945,982
629600,945,984
629601,947,989
629602,953,992
629603,958,996
629604,959,997
629605,959,995
629606,958,999
629607,959,999
629608,963,1002
629609,968,1001
629610,968,1002
629611,965,999
629612,962,999
629613,966,1000
629614,965,1002
629615,969,1002
629616,969,1000
629617,967,1000
629618,964,999
629619,967,1001
629620,967,1002
629621,970,1003
629622,967,999
629623,968,997
629624,964,997
629625,965,999
629626,967,1000
629627,965,1001
629628,966,1000
629629,964,996
629630,963,996
629631,963,995
629632,965,998
629633,967,996
629634,966,996
629635,964,996
629636,960,994
629637,962,998
629638,962,999
629639,964,998
629640,963,997
629641,960,993
629642,960,993
629643,960,996
629644,965,997
629645,963,995
629646,962,994
629647,961,992
629648,958,991
629649,956,994
629650,957,993
629651,959,992
629652,959,991
629653,960,988
629654,956,984
629655,956,985
629656,955,989
629657,953,988
629658,953,987
629659,954,985
629660,951,983
629661,950,984
629662,953,985
629663,953,987
629664,953,983
629665,952,982
629666,950,982
629667,950,984
629668,952,985
629669,954,984
629670,954,982
629671,952,982
629672,950,981
629673,951,984
629674,954,985
629675,955,987
629676,953,984
629677,949,982
629678,945,980
629679,945,983
629680,951,985
629681,953,985
629682,955,984
629683,952,985
629684,949,981
629685,948,984
629686,949,985
629687,956,984
629688,958,982
629689,957,983
629690,956,981
629691,959,984
629692,962,987
629693,963,988
629694,964,986
629695,966,984
629696,962,987
629697,965,989
629698,971,995
629699,972,995
629700,973,993
629701,974,993
629702,972,991
629703,973,992
629704,975,994
629705,974,999
629706,970,999
629707,969,996
629708,967,994
629709,971,998
629710,972,999
629711,971,1000
629712,972,998
629713,975,992
629714,975,990
629715,974,993
629716,967,992
629717,962,992
629718,961,988
629719,957,987
629720,953,987
629721,950,988
629722,952,988
629723,953,989
629724,950,989
629725,949,984
629726,948,985
629727,948,988
629728,948,989
629729,949,986
629730,948,986
629731,948,985
629732,945,985
629733,946,985
629734,946,986
629735,946,987
629736,946,987
629737,944,984
629738,943,984
629739,943,985
629740,944,988
629741,943,988
629742,944,985
629743,946,982
629744,942,980
629745,944,975
629746,942,972
629747,938,965
629748,930,963
629749,921,954
629750,917,959
629751,911,978
629752,905,1010
629753,912,1041
629754,932,1069
629755,964,1093
629756,999,1116
629757,1042,1143
629758,1095,1170
629759,1160,1187
629760,1209,1176
629761,1233,1111
629762,1231,1026
629763,1191,967
629764,1105,957
629765,1011,972
629766,943,978
629767,918,977
629768,919,980
629769,933,984
629770,944,985
629771,947,983
629772,945,982
629773,942,979
629774,938,978
629775,942,979
629776,943,983
629777,945,981
629778,945,980
629779,943,978
629780,941,980
629781,942,981
629782,941,982
629783,942,981
629784,941,980
629785,941,982
629786,940,980
629787,940,981
629788,940,983
629789,944,984
629790,945,982
629791,940,981
629792,939,980
629793,938,980
629794,942,983
629795,942,983
629796,944,985
629797,939,983
629798,937,980
629799,940,982
629800,941,983
629801,945,984
629802,943,982
629803,943,981
629804,942,983
629805,942,985
629806,944,985
629807,947,983
629808,946,981
629809,943,979
629810,941,981
629811,943,983
629812,942,985
629813,944,983
629814,944,983
629815,942,979
629816,941,979
629817,942,980
629818,945,983
629819,945,984
629820,945,982
629821,943,979
629822,942,977
629823,943,979
629824,944,980
629825,946,979
629826,947,980
629827,946,977
629828,945,979
629829,946,979
629830,948,981
629831,949,979
629832,949,977
629833,947,973
629834,943,972
629835,946,974
629836,947,978
629837,949,975
629838,948,974
629839,947,972
629840,945,968
629841,946,968
629842,950,969
629843,950,968
629844,950,968
629845,949,965
629846,946,964
629847,948,965
629848,948,966
629849,950,963
629850,950,964
629851,947,963
629852,946,963
629853,946,965
629854,948,969
629855,950,968
629856,948,967
629857,948,967
629858,947,969
629859,949,972
629860,951,979
629861,953,977
629862,955,980
629863,955,982
629864,953,982
629865,956,985
629866,960,992
629867,961,990
629868,961,993
629869,962,992
629870,963,992
629871,963,997
629872,967,996
629873,971,998
629874,971,997
629875,970,996
629876,969,996
629877,970,998
629878,970,999
629879,973,1000
629880,973,1000
629881,969,999
629882,969,999
629883,967,1000
629884,969,1001
629885,973,1001
629886,971,999
629887,966,998
629888,967,997
629889,968,1001
629890,970,1001
629891,970,1001
629892,970,999
629893,968,998
629894,967,996
629895,966,1001
629896,967,1001
629897,970,1000
629898,970,999
629899,970,998
629900,966,995
629901,966,998
629902,967,1000
629903,971,997
629904,969,998
629905,968,994
629906,966,995
629907,965,994
629908,966,998
629909,967,996
629910,966,997
629911,962,996
629912,960,994
629913,960,994
629914,961,997
629915,965,994
629916,963,996
629917,961,992
629918,959,992
629919,957,993
629920,959,994
629921,960,993
629922,960,991
629923,958,989
629924,956,990
629925,956,993
629926,958,994
629927,960,995
629928,960,992
629929,959,991
629930,956,990
629931,957,990
629932,960,992
629933,962,991
629934,961,990
629935,957,988
629936,954,987
629937,955,989
629938,958,990
629939,959,989
629940,956,988
629941,954,989
629942,953,988
629943,956,991
629944,956,993
629945,957,990
629946,957,991
629947,956,988
629948,956,989
629949,959,989
629950,962,990
629951,964,991
629952,969,990
629953,969,990
629954,969,989
629955,970,989
629956,976,996
629957,973,996
629958,973,997
629959,975,996
629960,977,995
629961,978,998
629962,981,1000
629963,985,999
629964,984,999
629965,984,997
629966,982,997
629967,979,999
629968,980,1003
629969,980,1001
629970,977,1005
629971,976,1003
629972,973,1001
629973,977,1002
629974,979,1004
629975,976,1005
629976,972,1005
629977,973,1004
629978,974,999
629979,982,999
629980,983,996
629981,979,997
629982,972,998
629983,967,996
629984,960,994
629985,958,994
629986,958,995
629987,958,994
629988,957,994
629989,954,993
629990,951,991
629991,951,993
629992,952,994
629993,957,994
629994,955,992
629995,955,990
629996,953,988
629997,950,991
629998,951,995
629999,954,994
630000,953,995
630001,952,992
630002,952,991
630003,952,993
630004,954,994
630005,956,994
630006,957,993
630007,954,990
630008,952,984
630009,949,979
630010,948,977
630011,943,972
630012,935,968
630013,932,963
630014,925,968
630015,917,988
630016,912,1013
630017,916,1038
630018,932,1057
630019,955,1068
630020,980,1080
630021,1007,1101
630022,1040,1121
630023,1087,1140
630024,1140,1159
630025,1182,1174
630026,1206,1185
630027,1225,1175
630028,1239,1129
630029,1238,1057
630030,1204,990
630031,1136,960
630032,1049,967
630033,975,981
630034,933,986
630035,925,989
630036,933,988
630037,941,987
630038,948,984
630039,950,987
630040,949,990
630041,951,989
630042,949,990
630043,950,984
630044,947,985
630045,945,985
630046,946,986
630047,947,989
630048,948,989
630049,946,988
630050,945,987
630051,945,987
630052,946,989
630053,949,988
630054,947,988
630055,946,986
630056,943,986
630057,944,987
630058,946,991
630059,949,989
630060,947,988
630061,944,988
630062,944,986
630063,942,985
630064,945,991
630065,946,991
630066,946,989
630067,944,987
630068,942,988
630069,943,988
630070,945,991
630071,946,994
630072,945,991
630073,944,988
630074,944,988
630075,945,990
630076,946,991
630077,945,989
630078,946,989
630079,944,990
630080,942,989
630081,943,989
630082,945,994
630083,948,992
630084,946,992
630085,946,988
630086,943,987
630087,946,990
630088,948,991
630089,950,990
630090,950,989
630091,948,989
630092,945,988
630093,945,989
630094,945,990
630095,950,989
630096,950,988
630097,949,984
630098,945,983
630099,942,985
630100,946,987
630101,947,988
630102,946,987
630103,946,982
630104,947,980
630105,946,978
630106,946,981
630107,949,981
630108,948,979
630109,947,975
630110,944,974
630111,943,974
630112,946,975
630113,948,975
630114,948,973
630115,945,970
630116,943,970
630117,945,971
630118,945,974
630119,950,974
630120,948,972
630121,945,975
630122,945,976
630123,945,980
630124,947,983
630125,951,984
630126,949,985
630127,950,986
630128,951,989
630129,954,989
630130,953,992
630131,957,993
630132,958,995
630133,957,994
630134,957,994
630135,957,995
630136,959,1000
630137,960,999
630138,958,996
630139,957,997
630140,959,996
630141,959,999
630142,959,1002
630143,962,1000
630144,964,1000
630145,965,997
630146,964,998
630147,963,1000
630148,961,1000
630149,962,998
630150,965,1002
630151,961,999
630152,962,1001
630153,958,1001
630154,962,1002
630155,964,1004
630156,963,1002
630157,960,998
630158,959,999
630159,959,998
630160,962,1000
630161,962,999
630162,961,1000
630163,959,999
630164,959,998
630165,959,997
630166,960,1001
630167,962,999
630168,959,998
630169,958,997
630170,957,996
630171,956,995
630172,958,999
630173,961,998
630174,959,996
630175,957,993
630176,955,992
630177,957,992
630178,956,994
630179,956,996
630180,950,998
630181,949,995
630182,948,991
630183,949,992
630184,950,991
630185,950,992
630186,948,992
630187,947,988
630188,947,988
630189,948,994
630190,949,996
630191,952,997
630192,951,992
630193,952,987
630194,949,986
630195,946,987
630196,945,991
630197,949,992
630198,949,992
630199,947,991
630200,947,990
630201,945,988
630202,947,990
630203,949,991
630204,949,988
630205,948,985
630206,946,982
630207,947,986
630208,948,991
630209,948,988
630210,947,986
630211,943,985
630212,944,985
630213,944,987
630214,947,990
630215,952,990
630216,954,990
630217,953,987
630218,957,988
630219,956,988
630220,959,989
630221,960,992
630222,962,990
630223,964,991
630224,964,993
630225,964,993
630226,968,996
630227,973,998
630228,969,997
630229,968,992
630230,964,992
630231,962,994
630232,962,998
630233,966,998
630234,964,1001
630235,966,997
630236,966,997
630237,964,999
630238,963,998
630239,962,999
630240,960,997
630241,961,995
630242,964,991
630243,963,992
630244,960,992
630245,957,993
630246,956,993
630247,952,993
630248,950,991
630249,948,991
630250,946,993
630251,950,992
630252,947,988
630253,946,986
630254,941,983
630255,940,984
630256,941,989
630257,942,990
630258,938,989
630259,937,985
630260,937,982
630261,938,983
630262,936,985
630263,937,988
630264,937,986
630265,935,983
630266,932,982
630267,932,985
630268,932,986
630269,935,985
630270,933,985
630271,931,983
630272,931,983
630273,932,978
630274,933,976
630275,933,972
630276,924,969
630277,915,961
630278,910,960
630279,908,974
630280,902,993
630281,902,1017
630282,909,1038
630283,932,1053
630284,959,1069
630285,998,1093
630286,1047,1121
630287,1110,1141
630288,1165,1136
630289,1199,1079
630290,1200,1003
630291,1155,954
630292,1076,945
630293,989,960
630294,927,971
630295,903,973
630296,903,971
630297,915,976
630298,926,977
630299,931,978
630300,926,978
630301,924,979
630302,924,980
630303,929,984
630304,932,985
630305,932,985
630306,926,986
630307,925,985
630308,924,985
630309,926,985
630310,930,984
630311,932,980
630312,930,977
630313,926,975
630314,922,979
630315,920,982
630316,922,982
630317,927,985
630318,928,984
630319,928,982
630320,926,980
630321,923,980
630322,924,983
630323,924,985
630324,921,984
630325,920,981
630326,920,980
630327,919,984
630328,925,985
630329,927,986
630330,928,983
630331,927,984
630332,925,982
630333,923,983
630334,925,984
630335,925,983
630336,922,985
630337,920,984
630338,920,979
630339,921,982
630340,922,983
630341,922,981
630342,921,983
630343,917,985
630344,916,981
630345,917,983
630346,920,982
630347,923,981
630348,922,982
630349,919,980
630350,921,981
630351,920,983
630352,924,985
630353,925,985
630354,925,982
630355,923,979
630356,921,979
630357,921,978
630358,923,981
630359,925,982
630360,924,981
630361,922,978
630362,921,976
630363,919,977
630364,920,978
630365,921,975
630366,922,976
630367,919,971
630368,919,970
630369,915,969
630370,916,971
630371,918,971
630372,917,973
630373,914,968
630374,911,966
630375,911,965
630376,914,967
630377,917,970
630378,917,967
630379,917,964
630380,918,961
630381,915,961
630382,915,963
630383,916,962
630384,914,963
630385,913,960
630386,908,960
630387,908,965
630388,909,967
630389,914,970
630390,915,972
630391,916,973
630392,916,973
630393,917,976
630394,922,982
630395,925,985
630396,925,987
630397,925,984
630398,926,985
630399,928,987
630400,929,988
630401,934,989
630402,936,990
630403,937,992
630404,936,993
630405,939,994
630406,940,994
630407,939,994
630408,937,996
630409,937,992
630410,935,993
630411,935,995
630412,939,998
630413,939,995
630414,936,996
630415,936,992
630416,935,993
630417,936,994
630418,938,995
630419,938,996
630420,938,997
630421,937,994
630422,937,994
630423,936,996
630424,940,997
630425,942,994
630426,944,994
630427,946,994
630428,941,993
630429,941,995
630430,944,996
630431,947,996
630432,946,995
630433,944,992
630434,939,992
630435,936,992
630436,938,992
630437,939,995
630438,937,993
630439,936,991
630440,935,992
630441,932,994
630442,934,996
630443,938,996
630444,936,994
630445,937,989
630446,935,990
630447,935,989
630448,935,992
630449,936,992
630450,937,993
630451,933,990
630452,930,989
630453,932,989
630454,934,991
630455,935,991
630456,934,992
630457,932,991
630458,933,992
630459,932,992
630460,935,992
630461,940,993
630462,941,992
630463,937,988
630464,935,988
630465,934,990
630466,935,990
630467,934,990
630468,936,990
630469,935,988
630470,935,988
630471,934,990
630472,937,993
630473,934,996
630474,933,993
630475,932,991
630476,934,988
630477,935,990
630478,936,991
630479,938,991
630480,940,991
630481,939,989
630482,941,990
630483,941,992
630484,945,994
630485,948,995
630486,950,995
630487,952,994
630488,953,994
630489,953,998
630490,955,1002
630491,957,1002
630492,958,1001
630493,955,998
630494,956,998
630495,954,999
630496,955,1003
630497,956,1003
630498,954,1006
630499,952,1007
630500,950,1003
630501,949,1004
630502,955,1007
630503,957,1005
630504,955,1006
630505,951,1006
630506,951,1004
630507,954,1006
630508,961,1003
630509,967,1003
630510,962,1002
630511,953,999
630512,948,997
630513,945,999
630514,946,1000
630515,948,1002
630516,944,1001
630517,938,998
630518,937,995
630519,933,997
630520,933,1000
630521,935,998
630522,932,997
630523,931,994
630524,930,991
630525,930,995
630526,933,998
630527,934,997
630528,932,998
630529,931,992
630530,928,993
630531,925,995
630532,926,994
630533,929,995
630534,929,996
630535,930,996
630536,930,995
630537,928,996
630538,928,996
630539,933,997
630540,931,995
630541,930,994
630542,927,988
630543,927,984
630544,926,983
630545,923,979
630546,913,973
630547,907,965
630548,903,969
630549,893,982
630550,889,1007
630551,892,1032
630552,904,1054
630553,924,1068
630554,947,1082
630555,968,1094
630556,997,1111
630557,1030,1129
630558,1073,1150
630559,1124,1168
630560,1174,1180
630561,1204,1163
630562,1220,1109
630563,1216,1031
630564,1173,974
630565,1094,960
630566,1002,967
630567,935,980
630568,905,987
630569,904,993
630570,911,995
630571,921,994
630572,924,992
630573,924,990
630574,927,995
630575,929,995
630576,927,994
630577,928,995
630578,925,992
630579,926,995
630580,926,995
630581,926,996
630582,926,996
630583,924,993
630584,925,994
630585,926,994
630586,928,996
630587,929,998
630588,927,996
630589,928,995
630590,927,992
630591,926,993
630592,929,998
630593,930,999
630594,929,1000
630595,927,998
630596,926,994
630597,923,996
630598,928,997
630599,928,998
630600,925,1001
630601,926,996
630602,924,997
630603,923,998
630604,927,999
630605,928,997
630606,929,1000
630607,927,998
630608,923,998
630609,922,997
630610,928,1001
630611,931,1002
630612,933,1000
630613,931,1000
630614,933,1000
630615,931,1002
630616,932,1005
630617,934,1002
630618,932,1000
630619,931,997
630620,930,994
630621,927,996
630622,930,998
630623,930,1000
630624,928,999
630625,927,998
630626,927,996
630627,926,996
630628,925,997
630629,929,999
630630,930,996
630631,927,996
630632,924,992
630633,924,994
630634,928,994
630635,930,995
630636,931,991
630637,928,990
630638,927,989
630639,925,988
630640,927,991
630641,930,987
630642,929,986
630643,928,984
630644,928,981
630645,928,982
630646,929,982
630647,929,983
630648,929,980
630649,928,978
630650,925,977
630651,924,976
630652,922,978
630653,927,980
630654,927,977
630655,924,977
630656,922,976
630657,922,977
630658,926,978
630659,927,980
630660,929,981
630661,927,981
630662,928,983
630663,925,985
630664,928,992
630665,933,993
630666,937,996
630667,937,996
630668,939,996
630669,938,1001
630670,940,1005
630671,943,1005
630672,944,1010
630673,942,1007
630674,944,1007
630675,946,1008
630676,948,1012
630677,951,1012
630678,950,1014
630679,950,1015
630680,949,1014
630681,949,1013
630682,950,1014
630683,951,1016
630684,951,1014
630685,950,1013
630686,947,1011
630687,946,1012
630688,950,1015
630689,953,1015
630690,950,1013
630691,950,1009
630692,949,1010
630693,951,1011
630694,953,1013
630695,955,1017
630696,954,1015
630697,953,1012
630698,951,1011
630699,948,1012
630700,950,1013
630701,952,1011
630702,949,1014
630703,949,1010
630704,947,1010
630705,948,1011
630706,950,1013
630707,952,1011
630708,951,1010
630709,948,1007
630710,947,1006
630711,947,1010
630712,950,1012
630713,951,1011
630714,949,1009
630715,949,1007
630716,946,1009
630717,945,1008
630718,948,1010
630719,948,1009
630720,950,1009
630721,947,1008
630722,947,1005
630723,947,1008
630724,947,1009
630725,948,1010
630726,947,1009
630727,945,1003
630728,944,1002
630729,943,1003
630730,945,1005
630731,948,1005
630732,945,1007
630733,944,1002
630734,944,1001
630735,942,1003
630736,942,1001
630737,944,1006
630738,943,1004
630739,942,1002
630740,940,1001
630741,940,1002
630742,941,1003
630743,943,1003
630744,943,1005
630745,942,1001
630746,942,1001
630747,942,1003
630748,945,1005
630749,950,1006
630750,947,1006
630751,945,1003
630752,944,1000
630753,944,1002
630754,947,1004
630755,951,1005
630756,952,1004
630757,951,1003
630758,951,1004
630759,953,1004
630760,956,1006
630761,961,1008
630762,962,1007
630763,962,1010
630764,959,1008
630765,959,1012
630766,965,1013
630767,969,1014
630768,970,1015
630769,972,1011
630770,969,1011
630771,969,1012
630772,971,1015
630773,973,1018
630774,969,1020
630775,968,1021
630776,966,1018
630777,968,1018
630778,971,1021
630779,970,1019
630780,968,1022
630781,965,1019
630782,966,1019
630783,967,1019
630784,972,1022
630785,978,1019
630786,979,1017
630787,976,1011
630788,970,1012
630789,965,1012
630790,963,1012
630791,962,1014
630792,959,1012
630793,955,1011
630794,951,1008
630795,950,1008
630796,950,1008
630797,951,1008
630798,951,1009
630799,951,1008
630800,948,1006
630801,945,1006
630802,948,1008
630803,950,1008
630804,950,1008
630805,945,1004
630806,944,1003
630807,944,1008
630808,947,1008
630809,946,1010
630810,947,1006
630811,945,1007
630812,942,1006
630813,944,1005
630814,945,1010
630815,949,1008
630816,948,1004
630817,949,996
630818,943,989
630819,937,986
630820,929,983
630821,924,980
630822,922,979
630823,913,991
630824,907,1013
630825,905,1044
630826,921,1071
630827,944,1089
630828,972,1102
630829,996,1111
630830,1020,1123
630831,1044,1142
630832,1076,1156
630833,1118,1172
630834,1157,1189
630835,1194,1207
630836,1218,1212
630837,1237,1184
630838,1248,1118
630839,1242,1035
630840,1190,985
630841,1102,983
630842,1010,993
630843,947,999
630844,923,1003
630845,926,1005
630846,935,1007
630847,941,1003
630848,944,1001
630849,942,1002
630850,947,1003
630851,947,1004
630852,948,1004
630853,946,1001
630854,945,1000
630855,944,1001
630856,944,1002
630857,946,1003
630858,946,1004
630859,945,1002
630860,945,1003
630861,944,1003
630862,947,1004
630863,952,1004
630864,948,1003
630865,946,1001
630866,947,1000
630867,944,1001
630868,947,1004
630869,945,1005
630870,944,1004
630871,944,1002
630872,942,1002
630873,942,1004
630874,945,1006
630875,947,1006
630876,946,1006
630877,946,1005
630878,942,1003
630879,942,1005
630880,943,1006
630881,946,1008
630882,947,1006
630883,946,1004
630884,944,1003
630885,945,1004
630886,946,1005
630887,949,1006
630888,950,1006
630889,950,1003
630890,947,1002
630891,949,1003
630892,950,1006
630893,952,1006
630894,952,1005
630895,951,1007
630896,950,1004
630897,949,1004
630898,951,1003
630899,953,1005
630900,951,1006
630901,949,1002
630902,945,1001
630903,945,1006
630904,948,1005
630905,953,1005
630906,953,1004
630907,951,1004
630908,950,1001
630909,948,1001
630910,950,1003
630911,951,1003
630912,950,1001
630913,949,999
630914,951,995
630915,950,998
630916,952,996
630917,955,998
630918,954,995
630919,951,994
630920,950,994
630921,950,993
630922,953,993
630923,956,992
630924,955,992
630925,954,989
630926,952,986
630927,952,988
630928,955,992
630929,953,992
630930,955,992
630931,954,988
630932,952,987
630933,951,990
630934,955,992
630935,956,996
630936,956,995
630937,955,997
630938,955,999
630939,957,1003
630940,960,1005
630941,963,1007
630942,962,1008
630943,963,1009
630944,964,1008
630945,965,1012
630946,967,1014
630947,969,1015
630948,970,1015
630949,971,1015
630950,968,1015
630951,970,1017
630952,972,1021
630953,976,1020
630954,976,1021
630955,972,1017
630956,973,1015
630957,973,1018
630958,975,1019
630959,974,1020
630960,975,1018
630961,974,1017
630962,973,1014
630963,971,1016
630964,972,1019
630965,972,1022
630966,972,1021
630967,973,1019
630968,972,1015
630969,970,1015
630970,970,1018
630971,972,1019
630972,970,1018
630973,971,1016
630974,970,1015
630975,969,1015
630976,973,1016
630977,972,1018
630978,973,1017
630979,972,1016
630980,970,1015
630981,969,1014
630982,970,1018
630983,974,1016
630984,972,1016
630985,972,1013
630986,971,1013
630987,969,1014
630988,968,1017
630989,971,1017
630990,971,1016
630991,970,1014
630992,969,1012
630993,968,1012
630994,969,1011
630995,971,1015
630996,968,1013
630997,966,1011
630998,964,1010
630999,962,1011
631000,964,1010
631001,964,1012
631002,965,1010
631003,964,1012
631004,963,1008
631005,961,1011
631006,964,1012
631007,966,1010
631008,964,1008
631009,963,1006
631010,963,1005
631011,962,1007
631012,964,1009
631013,965,1010
631014,965,1011
631015,964,1007
631016,965,1005
631017,964,1008
631018,968,1010
631019,968,1009
631020,968,1007
631021,968,1005
631022,968,1005
631023,967,1008
631024,968,1010
631025,970,1011
631026,970,1008
631027,971,1005
631028,969,1003
631029,973,1004
631030,977,1009
631031,981,1012
631032,980,1013
631033,981,1010
631034,980,1009
631035,980,1010
631036,981,1011
631037,986,1011
631038,988,1014
631039,989,1015
631040,988,1015
631041,989,1016
631042,993,1018
631043,994,1016
631044,994,1016
631045,991,1014
631046,986,1016
631047,984,1018
631048,986,1021
631049,988,1022
631050,989,1022
631051,988,1019
631052,984,1018
631053,983,1019
631054,985,1018
631055,990,1018
631056,993,1015
631057,993,1013
631058,989,1009
631059,980,1012
631060,977,1014
631061,977,1012
631062,977,1012
631063,971,1010
631064,968,1007
631065,964,1008
631066,968,1009
631067,967,1013
631068,964,1008
631069,963,1005
631070,962,1005
631071,964,1006
631072,966,1007
631073,968,1008
631074,966,1007
631075,965,1005
631076,965,1004
631077,967,1006
631078,967,1008
631079,967,1006
631080,965,1008
631081,965,1005
631082,963,1002
631083,960,1002
631084,962,1004
631085,962,1005
631086,962,1006
631087,959,1004
631088,959,1003
631089,956,1005
631090,961,1004
631091,961,1002
631092,962,998
631093,960,992
631094,957,986
